genre_name,playlist_name,spotify_id
cali rap,cali rap,1hUAg5G3zb5DTBIPg7YvWK
new orleans rap,New Orleans Rap 90s and 2000s,564Nkpr9KzTo1n7ec0NARJ
funk rock,Funk Rock,37i9dQZF1DX23YPJntYMnh
brazilian rock,Pátria Rock,37i9dQZF1DX2nd8BSnFnzT
barbadian pop,Barbie Official Playlist,37i9dQZF1DX0wIBbVnPvie
emo,Emo Forever,37i9dQZF1DX9wa6XirBPv8
white noise,White Noise 10 Hours,37i9dQZF1DWUZ5bk6qqDSy
reggae fusion,Reggae Fusion,6KJfIWwqIgCYXMh6qZk3NL
dream pop,Dreampop Classics,37i9dQZF1DXcNf6sH1qnKU
australian dance,mint,37i9dQZF1DX4dyzvuaRJ0n
gruperas inmortales,GRUPERAS INMORTALES,69IwzqsrtWd6mGi6lFTomN
brazilian hip hop,Brazilian Hip Hop 💥🔥,4tO0Ttt5CQ1ymvBSLnstSH
spanish hip hop,Spanish hip-hop🔥🔥,0HdNZtdr9CgJPlIhHOX7sg
florida rap,Florida Rap,2yItWUj3eMPUsJXFyewlFG
pagode novo,Pagode 2023 ⭐ MELHORES | LANÇAMENTOS 2023 - Musica Pagode - Pagode Novo - Samba e Pagode ,7hs66KfoTvgssFtLVg7Ek1
funk mtg,☯︎FUNK MTG ATUALIZADO   100/100☯︎,1HOGUFQnLvkKioxS2yLtW6
chanson,Standards de la Chanson Française,37i9dQZF1DWTypZHlgEy1G
dutch house,DUTCH HOUSE 👌,6KhRaZ3cdo3eCjU3GQOUfE
drill,NYC DRILL🌀💯,1IlB1gJt1fpRIW4GstbSAy
neo-synthpop,Synthpop Classics ,37i9dQZF1DWU1f2CQHNexG
pop venezolano,POP VENEZOLANO 🕺,3ABu5eBjZ54jk3P4LwTjzM
trance,Trance Classics,37i9dQZF1DXbtYAdenGE9U
funk rj,funk rj  🚩🐻,748BF7rInP61jT70SplXnt
gym phonk,gymcore,37i9dQZF1DX5n5gZBZb0AT
neon pop punk,Pure Pop Punk,37i9dQZF1DXasneILDRM7B
dancehall,Dancehall Throwback,37i9dQZF1DWWDLvD3P5wOG
brooklyn drill,NYvsNY,37i9dQZF1DWWjwbwZzTyfD
pixel,Pixel Garden,37i9dQZF1DX3FJKV5EZtau
turkish hip hop,Turkish HiP HOP,5Cq9m2jlX0GJIg7hzYDO29
russian hip hop,🇷🇺RUSSIAN HIP HOP🇷🇺,2VmomIfgnmUGFK1p3ZiPZq
classic texas country,Classic Texas Country,1licxiYRntjE9e39ChwKpG
north carolina hip hop,Beast Mode Hip-Hop,37i9dQZF1DX9oh43oAzkyx
k-rap,K-RAP,0fWgBObyxYhXZEpxYlQU5R
industrial metal,Industrial Metal,37i9dQZF1DX29LQDcJ6Xy7
classic oklahoma country,The Sound of Classic Oklahoma Country,4swO9BLJdUIGuNJii0IXLI
movie tunes,like a john hughes movie,3I1hI87DpQKCYwJaJbmqmO
plugg,pluggnb best songs ☆☆☆☆☆,0tgRD3oKucOp7oW6Oz15Fo
sheffield indie,Sheffield Indie Rock,0mYeIjbI07RzR02J03PXNZ
anime rock,Anime Rock/ Heavy Metal,4kKofbzxaTvVu3cAvxUwGj
britpop,"Britpop, Etc.",37i9dQZF1DXaVgr4Tx5kRF
baroque pop,Baroque Pop,37i9dQZF1DXaSkvwiKRh35
sertanejo pop,"Sertanejo, Pop e Internacional",2eGJQHTDouhrmHs7fUwM8h
indian instrumental,Indian Instrumentals,2NjY04mZGv8NPYLrmIKpZM
country dawn,country sunset drive ,43CuXXkPS93hBv2SlXUCPl
atl trap,ATL Trap Classics,63Beb95jCCFCpMKYSUyhhQ
downtempo,Downtempo,1GkIyRDaxTsJGX3m9sIa4l
urbano chileno,Urbano Chileno 🇨🇱🤘,7pntCVL1aopLvpP305Cm33
latin viral pop,LATIN MUSIC 2023 🔥 Top Latin Hits 🍑 Pop Latino,45GzgV6QdDD5fXBN4i3U0g
tamil pop,Tamil pop songs,28zjelfGMB6oyJ4D9OyClZ
